venue_name,venue_type,category,city,state,pincode,website_url,owner_name,owner_email,owner_phone,cuisine,address,country,latitude,longitude,google_maps_url,price_range
Blue Lagoon,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,international,"Blue Lagoon, MR10, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7509417,75.8889642,"https://www.google.com/maps?q=22.7509417,75.8889642",Budget
Mediterra,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,mediterranean,"Mediterra, MR10, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7515742,75.8890973,"https://www.google.com/maps?q=22.7515742,75.8890973",Premium
Chopstick City,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,chinese,"Chopstick City, MR10, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7512405,75.8893495,"https://www.google.com/maps?q=22.7512405,75.8893495",Budget
Sanchi,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,indian,"Sanchi, MR10, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7513794,75.8892539,"https://www.google.com/maps?q=22.7513794,75.8892539",Budget
Sakshi Dhaba,Restaurant,Dhaba,Bhopal,Madhya Pradesh,462044,,,,,regional,"Sakshi Dhaba, MD3124, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462044, India",India,23.2039138,77.3623026,"https://www.google.com/maps?q=23.2039138,77.3623026",Budget
Midway Treat Restaurant,Restaurant,Restaurant,Sohagi,Madhya Pradesh,486228,,,,,indian,"Midway Treat Restaurant, NH30, Ghuma, Sohagi, Teonthar Tahsil, Rewa, Madhya Pradesh, 486228, India",India,24.9230633,81.6863035,"https://www.google.com/maps?q=24.9230633,81.6863035",Budget
babla chicken centre,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,fast_food,"babla chicken centre, Mahunaka Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7048167,75.844087,"https://www.google.com/maps?q=22.7048167,75.844087",Budget
Prashant Restaurant,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,indian,"Prashant Restaurant, Kanadia Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7206932,75.9014201,"https://www.google.com/maps?q=22.7206932,75.9014201",Budget
Safari Canteen,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,multicuisine,"Safari Canteen, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8517823,79.9236826,"https://www.google.com/maps?q=24.8517823,79.9236826",Budget
Indiana,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,indian,"Indiana, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8515592,79.9243641,"https://www.google.com/maps?q=24.8515592,79.9243641",Budget
Madras Coffee House,Restaurant,Cafe,Khajuraho,Madhya Pradesh,471505,,,,,cafe,"Madras Coffee House, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8519317,79.923389,"https://www.google.com/maps?q=24.8519317,79.923389",Budget
Indiana Restaurant,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,indian,"Indiana Restaurant, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8514324,79.9247635,"https://www.google.com/maps?q=24.8514324,79.9247635",Budget
Sakshi dhabha,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Sakshi dhabha, MD3124, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2041578,77.3622843,"https://www.google.com/maps?q=23.2041578,77.3622843",Budget
Ram Raja Restaurant & Cafe,Restaurant,Cafe,Orchha,Madhya Pradesh,472246,,,,+917680252697,indian;breakfast;coffee_shop;italian_pizza;pancake;chinese,"Ram Raja Restaurant & Cafe, NH539, Orchha, Orchha Tahsil, Niwari, Madhya Pradesh, 472246, India",India,25.3507378,78.6414687,"https://www.google.com/maps?q=25.3507378,78.6414687",Budget
Sai prasad,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"Sai prasad, RNT marg, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7177775,75.8695959,"https://www.google.com/maps?q=22.7177775,75.8695959",Budget
Neelkamal restaurant,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,indian,"Neelkamal restaurant, RNT marg, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7178272,75.8694472,"https://www.google.com/maps?q=22.7178272,75.8694472",Budget
Neelkanth restaurant,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,indian,"Neelkanth restaurant, RNT marg, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7177657,75.8698126,"https://www.google.com/maps?q=22.7177657,75.8698126",Budget
Manohar dairy & Restaurant,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,indian,"Manohar dairy & Restaurant, Hamidiya road, Peer Gate Area, Ibrahimpura, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2641182,77.4084612,"https://www.google.com/maps?q=23.2641182,77.4084612",Budget
Millan,Restaurant,Restaurant,Orchha,Madhya Pradesh,472246,,,,,indian;italian_pizza;breakfast,"Millan, NH539, Orchha, Orchha Tahsil, Niwari, Madhya Pradesh, 472246, India",India,25.3507751,78.6412349,"https://www.google.com/maps?q=25.3507751,78.6412349",Budget
Wood Wind Bakery Lounge,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Wood Wind Bakery Lounge, bharat nagar road, SHAHPURA VILLAGE, Hoshangabad Road, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.1925884,77.4332746,"https://www.google.com/maps?q=23.1925884,77.4332746",Budget
Bhopal Express,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Bhopal Express, Lake View Walk Path, Krishna Nagar, Ibrahimpura, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2426214,77.3874912,"https://www.google.com/maps?q=23.2426214,77.3874912",Budget
Maa Annapurna Restaurant,Restaurant,Restaurant,Dhimarpura,Madhya Pradesh,472246,,,,,indian,"Maa Annapurna Restaurant, NH539, Dhimarpura, Orchha Tahsil, Niwari, Madhya Pradesh, 472246, India",India,25.3509712,78.6406979,"https://www.google.com/maps?q=25.3509712,78.6406979",Budget
Blue Sky restaurant,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,indian;italian,"Blue Sky restaurant, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8532883,79.9229986,"https://www.google.com/maps?q=24.8532883,79.9229986",Budget
Paradise Restaurant,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,indian,"Paradise Restaurant, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8500273,79.9233056,"https://www.google.com/maps?q=24.8500273,79.9233056",Budget
Saffron restaurant,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,indian,"Saffron restaurant, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8527317,79.9232998,"https://www.google.com/maps?q=24.8527317,79.9232998",Budget
Meena Hotel,Restaurant,Hotel Restaurant,Bhopal,Madhya Pradesh,462003,,,,,multicuisine,"Meena Hotel, MD3124, Neelbad, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462003, India",India,23.2024194,77.3560413,"https://www.google.com/maps?q=23.2024194,77.3560413",Budget
Panwar Dhaba,Restaurant,Dhaba,Nasrullahganj,Madhya Pradesh,466331,,,,,north_indian,"Panwar Dhaba, NH146B, Nasrullahganj, Nasrullaganj Tahsil, Sehore, Madhya Pradesh, 466331, India",India,22.6878814,77.2845022,"https://www.google.com/maps?q=22.6878814,77.2845022",Budget
Aarti Bhojnaleya,Restaurant,Restaurant,Sonthiya,Madhya Pradesh,466331,,,,,multicuisine,"Aarti Bhojnaleya, MD3216, Sonthiya, Chich, Sonthiya, Nasrullaganj Tahsil, Sehore, Madhya Pradesh, 466331, India",India,22.6401629,77.2757027,"https://www.google.com/maps?q=22.6401629,77.2757027",Budget
gurú kripa,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,multicuisine,"gurú kripa, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.851003,79.9260001,"https://www.google.com/maps?q=24.851003,79.9260001",Budget
Rimjhim Raj Restaurant,Restaurant,Restaurant,Orchha,Madhya Pradesh,472246,,,,,indian,"Rimjhim Raj Restaurant, MD1702, Orchha, Orchha Tahsil, Niwari, Madhya Pradesh, 472246, India",India,25.3516005,78.6391125,"https://www.google.com/maps?q=25.3516005,78.6391125",Budget
Goa Restaurant,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,indian,"Goa Restaurant, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8506853,79.923336,"https://www.google.com/maps?q=24.8506853,79.923336",Budget
CanteenS Hg C Canteen,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"CanteenS Hg C Canteen, CTD road, Bairagarh, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2657076,77.3460173,"https://www.google.com/maps?q=23.2657076,77.3460173",Budget
Narmada Restaurant,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,indian,"Narmada Restaurant, CTD road, Bairagarh, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2737474,77.3482334,"https://www.google.com/maps?q=23.2737474,77.3482334",Budget
Canteen,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Canteen, CTD road, Bairagarh, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2729798,77.339681,"https://www.google.com/maps?q=23.2729798,77.339681",Budget
Shagun,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Shagun, CTD road, Bairagarh, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2721881,77.3388156,"https://www.google.com/maps?q=23.2721881,77.3388156",Budget
New Darbar,Restaurant,Bar & Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"New Darbar, CTD road, Bairagarh, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.271651,77.3377732,"https://www.google.com/maps?q=23.271651,77.3377732",Budget
SHUDDH BARFI HOUSE,Restaurant,Bar & Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"SHUDDH BARFI HOUSE, CTD road, Bairagarh, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2708541,77.3384221,"https://www.google.com/maps?q=23.2708541,77.3384221",Budget
The taste of Nepal,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"The taste of Nepal, CTD road, Bairagarh, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.269664,77.3359347,"https://www.google.com/maps?q=23.269664,77.3359347",Budget
Evergreen Restaurant,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,indian,"Evergreen Restaurant, CTD road, Bairagarh, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2683053,77.3210879,"https://www.google.com/maps?q=23.2683053,77.3210879",Budget
CHIRAYU BACKSIDE CANTEEN,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"CHIRAYU BACKSIDE CANTEEN, Bhopal Bypass Rd, Bhaunri, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2703202,77.3089227,"https://www.google.com/maps?q=23.2703202,77.3089227",Budget
MP Restra,Restaurant,Restaurant,Dhar,Madhya Pradesh,454001,,,,,multicuisine,"MP Restra, Jawahar Marg, Dhar, Dhar Tahsil, Dhar, Madhya Pradesh, 454001, India",India,22.5959884,75.2988096,"https://www.google.com/maps?q=22.5959884,75.2988096",Budget
Silver saloon,Restaurant,Restaurant,Gwalior,Madhya Pradesh,474001,,,,,multicuisine,"Silver saloon, Bahodapur Road, Gwalior, Gird Tahsil, Gwalior, Madhya Pradesh, 474001, India",India,26.2114571,78.1505151,"https://www.google.com/maps?q=26.2114571,78.1505151",Budget
Punjabi food factory,Restaurant,Restaurant,Gwalior,Madhya Pradesh,474001,,,,,north_indian,"Punjabi food factory, Maharani LaxhmiBai Marg, Gwalior, Gird Tahsil, Gwalior, Madhya Pradesh, 474001, India",India,26.2237022,78.1718739,"https://www.google.com/maps?q=26.2237022,78.1718739",Budget
Shree Bhukkads a food lounge,Restaurant,Restaurant,Gwalior,Madhya Pradesh,474001,,,,,multicuisine,"Shree Bhukkads a food lounge, Padaav Pul Flyover, Gwalior, Gird Tahsil, Gwalior, Madhya Pradesh, 474001, India",India,26.2185696,78.182155,"https://www.google.com/maps?q=26.2185696,78.182155",Budget
Man bhavan,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"Man bhavan, Maharaja Yeshwantrao Hospital Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7137187,75.8745701,"https://www.google.com/maps?q=22.7137187,75.8745701",Budget
Kabeer roasted chicken,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,fast_food,"Kabeer roasted chicken, Chhavni Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7138033,75.8745714,"https://www.google.com/maps?q=22.7138033,75.8745714",Budget
Indian coffee house,Restaurant,Cafe,Gwalior,Madhya Pradesh,474001,,,,,cafe,"Indian coffee house, Padav Pul, Gwalior, Gird Tahsil, Gwalior, Madhya Pradesh, 474001, India",India,26.2152944,78.1830362,"https://www.google.com/maps?q=26.2152944,78.1830362",Budget
Open Sky Restaurant,Restaurant,Restaurant,Dhimarpura,Madhya Pradesh,472246,,,,,indian,"Open Sky Restaurant, NH539, Dhimarpura, Orchha Tahsil, Niwari, Madhya Pradesh, 472246, India",India,25.3516514,78.6407966,"https://www.google.com/maps?q=25.3516514,78.6407966",Budget
Indiana Restaurant,Restaurant,Restaurant,Orchha,Madhya Pradesh,472246,,,,+919302354368,indian;italian_pizza,"Indiana Restaurant, NH539, Orchha, Orchha Tahsil, Niwari, Madhya Pradesh, 472246, India",India,25.3495724,78.6409776,"https://www.google.com/maps?q=25.3495724,78.6409776",Budget
Laxmi Betwa Tarang Restaurant,Restaurant,Restaurant,Orchha,Madhya Pradesh,472246,,,,+91 76802 52081,indian;chinese;breakfast;italian_pizza;pancake,"Laxmi Betwa Tarang Restaurant, NH539, Orchha, Orchha Tahsil, Niwari, Madhya Pradesh, 472246, India",India,25.3507053,78.6411679,"https://www.google.com/maps?q=25.3507053,78.6411679",Budget
Bundeli Restaurant,Restaurant,Restaurant,Orchha,Madhya Pradesh,472246,,,,,indian,"Bundeli Restaurant, NH539, Orchha, Orchha Tahsil, Niwari, Madhya Pradesh, 472246, India",India,25.3498763,78.6409789,"https://www.google.com/maps?q=25.3498763,78.6409789",Budget
Maharaja Cafe & Restaurant,Restaurant,Cafe,Khajuraho,Madhya Pradesh,471505,,,,,breakfast;indian;chinese,"Maharaja Cafe & Restaurant, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8523054,79.9234109,"https://www.google.com/maps?q=24.8523054,79.9234109",Budget
Gagan Restaurant,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,+91 98933 45114,indian;chinese;breakfast;italian_pizza;sandwich;pancake,"Gagan Restaurant, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8498595,79.9232639,"https://www.google.com/maps?q=24.8498595,79.9232639",Budget
Mahveer Restaurant,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,indian;breakfast,"Mahveer Restaurant, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8441325,79.9348831,"https://www.google.com/maps?q=24.8441325,79.9348831",Budget
Badri Seth Marwadi Bhoj,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,indian,"Badri Seth Marwadi Bhoj, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8492398,79.92326,"https://www.google.com/maps?q=24.8492398,79.92326",Budget
Krishna Restaurant,Restaurant,Restaurant,Sanwer Tahsil,Madhya Pradesh,453771,,,,,indian,"Krishna Restaurant, Old A. B. Road, Manglya, Sanwer Tahsil, Indore, Madhya Pradesh, 453771, India",India,22.8183481,75.9274068,"https://www.google.com/maps?q=22.8183481,75.9274068",Budget
Fort View Cafe,Restaurant,Cafe,Gwalior,Madhya Pradesh,474001,,,,,indian,"Fort View Cafe, Maharani LaxhmiBai Marg, Gwalior, Gird Tahsil, Gwalior, Madhya Pradesh, 474001, India",India,26.2289575,78.1681786,"https://www.google.com/maps?q=26.2289575,78.1681786",Budget
Safari Canteen 2,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,multicuisine,"Safari Canteen 2, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8517225,79.9244748,"https://www.google.com/maps?q=24.8517225,79.9244748",Budget
Gandhi Dham,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Gandhi Dham, MD3110, Roshanpura, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2386604,77.4024464,"https://www.google.com/maps?q=23.2386604,77.4024464",Budget
Saatvik,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Saatvik, Subhash Yadav Marg, Police Radio Colony, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2359564,77.4018192,"https://www.google.com/maps?q=23.2359564,77.4018192",Budget
Sweet & Salt Restaurant,Restaurant,Restaurant,Gwalior,Madhya Pradesh,474001,,,,,indian,"Sweet & Salt Restaurant, VIP Road, Gwalior, Gird Tahsil, Gwalior, Madhya Pradesh, 474001, India",India,26.2317778,78.2163548,"https://www.google.com/maps?q=26.2317778,78.2163548",Budget
Swad The Taste,Restaurant,Restaurant,Gwalior,Madhya Pradesh,474001,,,,,multicuisine,"Swad The Taste, VIP Road, Gwalior, Gird Tahsil, Gwalior, Madhya Pradesh, 474001, India",India,26.2317197,78.2164964,"https://www.google.com/maps?q=26.2317197,78.2164964",Budget
Kwality,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,south_indian;chaat;italian,"Kwality, Bhadbhada Road, STT Nagar, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2365447,77.4006669,"https://www.google.com/maps?q=23.2365447,77.4006669",Budget
Indian Coffee House,Restaurant,Cafe,Bhopal,Madhya Pradesh,462001,,,,,south_indian;north_indian;chinese,"Indian Coffee House, Subhash Yadav Marg, Police Radio Colony, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.234346,77.4019146,"https://www.google.com/maps?q=23.234346,77.4019146",Budget
Pitchers Cafebar,Restaurant,Bar & Restaurant,Indore,Madhya Pradesh,452001,,,,,coffee_shop,"Pitchers Cafebar, Old A. B. Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7443446,75.8920419,"https://www.google.com/maps?q=22.7443446,75.8920419",Budget
Rishabh Restaurant,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,chinese;regional;breakfast;indian;local,"Rishabh Restaurant, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8457455,79.9304528,"https://www.google.com/maps?q=24.8457455,79.9304528",Budget
Moon Light Restaurant,Restaurant,Restaurant,Dhimarpura,Madhya Pradesh,472246,,,,,regional;indian;local,"Moon Light Restaurant, NH539, Dhimarpura, Orchha Tahsil, Niwari, Madhya Pradesh, 472246, India",India,25.3518282,78.6408692,"https://www.google.com/maps?q=25.3518282,78.6408692",Budget
Orchha hut Restaurant,Restaurant,Restaurant,Orchha,Madhya Pradesh,472246,,,,,chinese;sandwich;breakfast;italian;indian,"Orchha hut Restaurant, MD1702, Orchha, Orchha Tahsil, Niwari, Madhya Pradesh, 472246, India",India,25.3511997,78.6377498,"https://www.google.com/maps?q=25.3511997,78.6377498",Budget
रेस्टॉरेन्ट नोमाड्स,Restaurant,Restaurant,Orchha,Madhya Pradesh,472246,https://m.facebook.com/cfnomads/,,,084472 71631,mediterranean;tea;chinese;pizza;burger;pasta;breakfast;indian,"रेस्टॉरेन्ट नोमाड्स, NH539, Orchha, Orchha Tahsil, Niwari, Madhya Pradesh, 472246, India",India,25.3475921,78.6410926,"https://www.google.com/maps?q=25.3475921,78.6410926",Budget
# Pizza Kitchen,Restaurant,Restaurant,Datia,Madhya Pradesh,475661,,,,+91 9336888383,pizza;italian_pizza;burger;italian;pasta;snacks,"# Pizza Kitchen, 5, SH1, Datia, Datia Nagar Tahsil, Datia, Madhya Pradesh, 475661, India",India,25.6649631,78.4609911,"https://www.google.com/maps?q=25.6649631,78.4609911",Budget
Pizza Hut,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,pizza,"Pizza Hut, Vishal Trinity, Sapna Sangeeta Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7004322,75.8680274,"https://www.google.com/maps?q=22.7004322,75.8680274",Budget
Pizza Hut,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,pizza,"Pizza Hut, Rafael Tower, Greater Kailash Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7252554,75.8943212,"https://www.google.com/maps?q=22.7252554,75.8943212",Budget
Pizza Hut,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,pizza,"Pizza Hut, Dhan Trident, S Service Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7538662,75.897717,"https://www.google.com/maps?q=22.7538662,75.897717",Budget
Pizza Hut,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,pizza,"Pizza Hut, Malhar Mega Mall, Service Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7447525,75.8947744,"https://www.google.com/maps?q=22.7447525,75.8947744",Budget
Petu,Restaurant,Restaurant,Alipur,Madhya Pradesh,481776,,,,,multicuisine,"Petu, NH543, Samnapur, Alipur, Nainpur Tahsil, Mandla, Madhya Pradesh, 481776, India",India,22.4264351,80.1480228,"https://www.google.com/maps?q=22.4264351,80.1480228",Budget
Hotel Khajuraho Lake view,Restaurant,Hotel Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,italian_pizza;chinese;tea;pizza;regional;pasta;italian;indian;local,"Hotel Khajuraho Lake view, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8493598,79.9233366,"https://www.google.com/maps?q=24.8493598,79.9233366",Budget
Lake view,Restaurant,Restaurant,Khajuraho,Madhya Pradesh,471505,,,,,multicuisine,"Lake view, SH5, Khajuraho, Rajnagar Tahsil, Chhatarpur, Madhya Pradesh, 471505, India",India,24.8496831,79.9232645,"https://www.google.com/maps?q=24.8496831,79.9232645",Budget
"Hotel Celebration , Bakery And Restaurant",Restaurant,Hotel Restaurant,Seoni Malwa,Madhya Pradesh,461223,,,,,indian,"Hotel Celebration , Bakery And Restaurant, Hoshangabad Road, Banapura, Seoni Malwa, Seoni-Malwa Tahsil, Narmadapuram, Madhya Pradesh, 461223, India",India,22.4578173,77.475453,"https://www.google.com/maps?q=22.4578173,77.475453",Budget
Indian Coffee House Betul,Restaurant,Cafe,Betul,Madhya Pradesh,460001,,,,,chicken;coffee_shop;regional;south_indian,"Indian Coffee House Betul, MD3504, Betul, Betul Tahsil, Betul, Madhya Pradesh, 460001, India",India,21.9050192,77.9017288,"https://www.google.com/maps?q=21.9050192,77.9017288",Budget
Mediterraneo,Restaurant,Restaurant,Orchha,Madhya Pradesh,472246,,,,,regional,"Mediterraneo, NH539, Orchha, Orchha Tahsil, Niwari, Madhya Pradesh, 472246, India",India,25.3497199,78.6409462,"https://www.google.com/maps?q=25.3497199,78.6409462",Budget
Amer Bakery Hut,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Amer Bakery Hut, MD3118, Board Colony, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2174899,77.4276323,"https://www.google.com/maps?q=23.2174899,77.4276323",Budget
china bowl,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"china bowl, MD3118, Arera Colony, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2088598,77.4368158,"https://www.google.com/maps?q=23.2088598,77.4368158",Budget
e-7 resturant,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"e-7 resturant, MD3118, Arera Colony, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2060998,77.437165,"https://www.google.com/maps?q=23.2060998,77.437165",Budget
DAL CHINI Restaurant,Restaurant,Restaurant,Indore,Madhya Pradesh,455001,,,,+91 99813 78262,chinese;sandwich;indian;italian_pizza,"DAL CHINI Restaurant, 104, Adinath Temple Jain Road, Dewas, Indore, Dewas Nagar Tahsil, Dewas, Madhya Pradesh, 455001, India",India,22.9589818,76.0426821,"https://www.google.com/maps?q=22.9589818,76.0426821",Budget
HOTEL THE ND GRANDE,Restaurant,Hotel Restaurant,Dabra,Madhya Pradesh,475110,,,,,multicuisine,"HOTEL THE ND GRANDE, Gali Number 4, Dabra, Dabra Tahsil, Gwalior, Madhya Pradesh, 475110, India",India,25.8835213,78.3334264,"https://www.google.com/maps?q=25.8835213,78.3334264",Budget
Rangoli Garden,Restaurant,Restaurant,Dabra,Madhya Pradesh,475110,,,,,multicuisine,"Rangoli Garden, Thakur Baba Road, Dabra, Dabra Tahsil, Gwalior, Madhya Pradesh, 475110, India",India,25.8834074,78.3334586,"https://www.google.com/maps?q=25.8834074,78.3334586",Budget
Ambika sweets,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"Ambika sweets, Kanadia Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7200466,75.9047668,"https://www.google.com/maps?q=22.7200466,75.9047668",Budget
Jainam food,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"Jainam food, Kanadia Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7207019,75.9004597,"https://www.google.com/maps?q=22.7207019,75.9004597",Budget
